date,home_team,away_team,home_score,away_score,home_elo,away_elo,home_fifa_ranking,away_fifa_ranking,home_average_age,away_average_age,home_squad_size,away_squad_size,home_market_value,away_market_value,home_confederation,away_confederation,neutral,tournament
1901-03-02,Wales,Scotland,1.0,1.0,1439.0,1991.0,37,42,26.6,29.3,27,26,180649994.0,170250000.0,UEFA,UEFA,False,British Home Championship
1901-03-18,England,Wales,6.0,0.0,2050.0,1439.0,4,37,27.3,26.6,26,27,34375000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1901-03-30,England,Scotland,2.0,2.0,2050.0,1991.0,4,42,27.3,29.3,26,26,34375000.0,170250000.0,UEFA,UEFA,False,British Home Championship
1902-03-03,Wales,England,0.0,0.0,1476.0,2050.0,37,4,26.6,27.3,27,26,180649994.0,34375000.0,UEFA,UEFA,False,British Home Championship
1902-03-15,Scotland,Wales,5.0,1.0,1991.0,1476.0,42,37,29.3,26.6,26,27,170250000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1902-05-03,England,Scotland,2.0,2.0,2050.0,1991.0,4,42,27.3,29.3,26,26,34375000.0,170250000.0,UEFA,UEFA,False,British Home Championship
1903-03-02,England,Wales,2.0,1.0,2050.0,1476.0,4,37,27.3,26.6,26,27,34375000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1903-03-09,Wales,Scotland,0.0,1.0,1476.0,1991.0,37,42,26.6,29.3,27,26,180649994.0,170250000.0,UEFA,UEFA,False,British Home Championship
1903-04-04,England,Scotland,1.0,2.0,2050.0,1991.0,4,42,27.3,29.3,26,26,34375000.0,170250000.0,UEFA,UEFA,False,British Home Championship
1904-02-29,Wales,England,2.0,2.0,1476.0,2050.0,37,4,26.6,27.3,27,26,180649994.0,34375000.0,UEFA,UEFA,False,British Home Championship
1904-03-12,Scotland,Wales,1.0,1.0,1991.0,1476.0,42,37,29.3,26.6,26,27,170250000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1904-04-09,Scotland,England,0.0,1.0,1991.0,2050.0,42,4,29.3,27.3,26,26,170250000.0,34375000.0,UEFA,UEFA,False,British Home Championship
1905-03-06,Wales,Scotland,3.0,1.0,1476.0,1991.0,37,42,26.6,29.3,27,26,180649994.0,170250000.0,UEFA,UEFA,False,British Home Championship
1905-03-27,England,Wales,3.0,1.0,2050.0,1476.0,4,37,27.3,26.6,26,27,34375000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1905-04-01,England,Scotland,1.0,0.0,2050.0,1991.0,4,42,27.3,29.3,26,26,34375000.0,170250000.0,UEFA,UEFA,False,British Home Championship
1906-03-03,Scotland,Wales,0.0,2.0,1991.0,1476.0,42,37,29.3,26.6,26,27,170250000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1906-03-19,Wales,England,0.0,1.0,1476.0,2050.0,37,4,26.6,27.3,27,26,180649994.0,34375000.0,UEFA,UEFA,False,British Home Championship
1906-04-07,Scotland,England,2.0,1.0,1991.0,2050.0,42,4,29.3,27.3,26,26,170250000.0,34375000.0,UEFA,UEFA,False,British Home Championship
1907-03-04,Wales,Scotland,1.0,0.0,1476.0,1991.0,37,42,26.6,29.3,27,26,180649994.0,170250000.0,UEFA,UEFA,False,British Home Championship
1907-03-18,England,Wales,1.0,1.0,2050.0,1476.0,4,37,27.3,26.6,26,27,34375000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1907-04-06,England,Scotland,1.0,1.0,2050.0,1991.0,4,42,27.3,29.3,26,26,34375000.0,170250000.0,UEFA,UEFA,False,British Home Championship
1908-03-07,Scotland,Wales,2.0,1.0,1991.0,1476.0,42,37,29.3,26.6,26,27,170250000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1908-03-16,Wales,England,1.0,7.0,1476.0,2050.0,37,4,26.6,27.3,27,26,180649994.0,34375000.0,UEFA,UEFA,False,British Home Championship
1908-04-04,Scotland,England,1.0,1.0,1991.0,2050.0,42,4,29.3,27.3,26,26,170250000.0,34375000.0,UEFA,UEFA,False,British Home Championship
1909-03-01,Wales,Scotland,3.0,2.0,1476.0,1991.0,37,42,26.6,29.3,27,26,180649994.0,170250000.0,UEFA,UEFA,False,British Home Championship
1909-03-15,England,Wales,2.0,0.0,2050.0,1476.0,4,37,27.3,26.6,26,27,34375000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1909-04-03,England,Scotland,2.0,0.0,2050.0,1991.0,4,42,27.3,29.3,26,26,34375000.0,170250000.0,UEFA,UEFA,False,British Home Championship
1910-03-05,Scotland,Wales,1.0,0.0,1991.0,1476.0,42,37,29.3,26.6,26,27,170250000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1910-03-14,Wales,England,0.0,1.0,1476.0,2050.0,37,4,26.6,27.3,27,26,180649994.0,34375000.0,UEFA,UEFA,False,British Home Championship
1910-04-02,Scotland,England,2.0,0.0,1991.0,2050.0,42,4,29.3,27.3,26,26,170250000.0,34375000.0,UEFA,UEFA,False,British Home Championship
1911-03-06,Wales,Scotland,2.0,2.0,1476.0,1991.0,37,42,26.6,29.3,27,26,180649994.0,170250000.0,UEFA,UEFA,False,British Home Championship
1911-03-13,England,Wales,3.0,0.0,2050.0,1476.0,4,37,27.3,26.6,26,27,34375000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1911-04-01,England,Scotland,1.0,1.0,2050.0,1991.0,4,42,27.3,29.3,26,26,34375000.0,170250000.0,UEFA,UEFA,False,British Home Championship
1911-10-29,Germany,Sweden,1.0,3.0,1660.0,1691.0,10,38,28.1,27.6,26,26,947000000.0,406079987.0,UEFA,UEFA,False,Friendly
1911-10-29,Hungary,Switzerland,9.0,0.0,1865.0,1543.0,39,19,25.7,28.4,29,26,209199997.0,332500000.0,UEFA,UEFA,False,Friendly
1911-10-29,Luxembourg,France,1.0,4.0,1288.0,1529.0,98,3,26.2,27.1,23,26,14980000.0,34375000.0,UEFA,UEFA,False,Friendly
1911-10-29,Uruguay,Argentina,3.0,0.0,1922.0,1939.0,16,1,28.8,29.2,26,26,359299988.0,807500000.0,CONMEBOL,CONMEBOL,False,Copa Premio Honor Uruguayo
1911-12-17,Germany,Hungary,1.0,4.0,1660.0,1865.0,10,39,28.1,25.7,26,29,947000000.0,209199997.0,UEFA,UEFA,False,Friendly
1912-02-18,France,Switzerland,4.0,1.0,1529.0,1543.0,3,19,27.1,28.4,26,26,34375000.0,332500000.0,UEFA,UEFA,False,Friendly
1912-03-02,Scotland,Wales,1.0,0.0,1991.0,1476.0,42,37,29.3,26.6,26,27,170250000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1912-03-11,Wales,England,0.0,2.0,1476.0,2050.0,37,4,26.6,27.3,27,26,180649994.0,34375000.0,UEFA,UEFA,False,British Home Championship
1912-03-23,Scotland,England,1.0,1.0,1991.0,2050.0,42,4,29.3,27.3,26,26,170250000.0,34375000.0,UEFA,UEFA,False,British Home Championship
1912-04-14,Hungary,Germany,4.0,4.0,1865.0,1660.0,39,10,25.7,28.1,29,26,209199997.0,947000000.0,UEFA,UEFA,False,Friendly
1912-05-05,Switzerland,Germany,1.0,2.0,1543.0,1660.0,19,10,28.4,28.1,26,26,332500000.0,947000000.0,UEFA,UEFA,False,Friendly
1912-06-20,Sweden,Hungary,2.0,2.0,1691.0,1865.0,38,39,27.6,25.7,26,29,406079987.0,209199997.0,UEFA,UEFA,False,Friendly
1912-07-03,Hungary,Germany,3.0,1.0,1865.0,1660.0,39,10,25.7,28.1,29,26,209199997.0,947000000.0,UEFA,UEFA,True,Olympic Games
1912-08-15,Uruguay,Argentina,2.0,0.0,1922.0,1939.0,16,1,28.8,29.2,26,26,359299988.0,807500000.0,CONMEBOL,CONMEBOL,False,Copa Lipton
1912-08-25,Uruguay,Argentina,3.0,0.0,1922.0,1939.0,16,1,28.8,29.2,26,26,359299988.0,807500000.0,CONMEBOL,CONMEBOL,False,Copa Premio Honor Uruguayo
